$x_0$,iters,$f$,err,iters,$f$,$nabla f$,err,iters,$f$,$nabla f$,err
"(5, 3.5)",32,61,2.4974740465144812e-05,5,36,12,3.4617569262186267e-06,5,27,9,3.46513030164137e-06
"(-1.6, -3)",23,46,1.48493063060833e-05,4,27,9,7.140747294694746e-06,5,30,10,7.120826508145291e-06
"(0, 0)",61,119,4.619345947408282,6,36,12,4.619333573324592,8,33,11,4.619332637030587
"(-6.283185307179586, 6.283185307179586)",47,90,8.885813952188455,9,81,27,4.619332666646599,14,75,25,6.237873640097292
