$x_0$,iters,$f$,err,iters,$f$,$nabla f$,err,iters,$f$,$nabla f$,err
"(3, 1)",39,74,3.0195874951663706,5,30,10,3.019601381218935,5,24,8,3.019601380085876
"(-5, -3)",32,62,6.74509180327438,7,51,17,6.7450782366856785,6,30,10,6.745078212012225
"(-0.5, 0.2)",40,77,4.6895969027992834e-05,4,27,9,6.534039969032249e-07,6,27,9,7.067737334998142e-07
