$x_0$,iters,$f$,err,iters,$f$,$nabla f$,err,iters,$f$,$nabla f$,err
"(3, 1)",39,74,3.0195874951663706,5,30,10,3.0196018782233636,5,24,8,3.0196018701937786
"(-5, -3)",32,62,6.74509180327438,7,51,17,6.745077556416032,6,30,10,6.745077549893332
"(-0.5, 0.2)",40,77,4.6895969027992834e-05,4,27,9,9.739163042672762e-09,6,27,9,1.0210968599469433e-08
