$x_0$,iters,$f$,err,iters,$f$,$nabla f$,err,iters,$f$,$nabla f$,err
"(2, 9)",42,82,3.068328565565847e-05,10,69,23,4.0652757099318325e-06,9,33,11,1.805969361826251e-05
"(20, 20)",99,214,343.281777658848,21,342,114,163.17060343667796,27,102,34,156.76207065530338
"(0, 0)",86,167,1.0032620156354538e-05,16,108,36,2.5193227720005224e-05,28,117,39,5.158007073073263e-06
