"[0, 0]",0,3,1,,0.0
"[1, 1]",7,30,10,,1.0536741219168518e-08
"[-5, -3]",6,30,10,,6.745077549893332
"[-0.5, 0.2]",6,27,9,,1.0210968599469433e-08
