"[5, 3]",4,30,10,,3.4618928155175957e-06,8.885759519389994
"[-1.6, -3]",4,27,9,,8.885764722326929,7.140747294694746e-06
"[0, 0]",6,36,12,,4.61933600291076,4.619333573324592
"[-6.283185307179586, 6.283185307179586]",9,81,27,,4.619337658905903,4.619332666646599
