$x_0$,iters,$f$,err,iters,$f$,$nabla f$,err,iters,$f$,$nabla f$,err
"(5, 3.5)",32,61,2.4974740465144812e-05,4,119,36,3.4502534908708594e-06,5,27,9,3.3055949964234146e-06
"(-1.6, -3)",23,46,1.48493063060833e-05,3,137,42,7.545748467572757e-06,5,30,10,7.76561237386851e-06
"(0, 0)",61,119,4.619345947408282,6,36,12,4.619333961265338,8,33,11,4.61933164064741
"(-6.283185307179586, 6.283185307179586)",47,90,8.885813952188455,9,81,27,4.619332875260533,14,75,25,6.237874153200453
